Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Elmhurst/Corona,2000.0,0.217907153202759,,,,,,0.278571428571013,,0.192407315164019,142022.0,0.2818718227,0.08248722029,0.4915506048,0.1111940404,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,352359.643835616,194507.021605479,,,,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,114.0,59.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
Middle Village/Ridgewood,2000.0,0.404825264504325,,,,,,0.247058823528278,,0.137656503122344,167201.0,0.06331899929,0.01005974845,0.280799756,0.6221314466,43.0,43,3647.0,5.9,5419.0,3.8,107276.0,84.0,180.4,7.4,285.7,45.6,82.2,27.8,53.7,63.7,57.9,57.0,52.4,109.4,6.2,5.0,5.6,6.2,4.4,10.6,357607.553424658,209916.38356164398,,,,0.39661674062182894,0.543729460404961,15.0,15.0,2.4999999999999996,9.499999999999998,10.6,18.8,19.8,19.7,5641.816065019878,198.9812589411177,12.461253250548916,1056.0,45.0,9952.0,351.0,81029.0,176397.13,48.0,54.0,93.0,690.0,
Rego Park/Forest Hills,2000.0,0.382506253219617,,,,,,0.24777327935044,,0.111820123544931,113422.0,0.2140590009,0.02157429776,0.1129498686,0.6171642186,44.0,44,3634.0,7.0,6020.0,6.3,83010.0,92.0,230.2,4.6,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6,509796.93150684895,209916.383561644,,,,0.80083450235603,0.735171396712348,5.0,8.0,1.0,,16.5,,13.4,16.1,5566.293396844637,286.70366964535674,11.341203961361352,514.0,150.0,6271.0,323.0,55838.0,112660.26000000001,0.0,40.0,0.0,290.0,
Flushing/Whitestone,2000.0,0.472700972200983,,,,,,0.266249999996944,,0.132446176472513,243690.0,0.3608888342,0.02819976199,0.1683942714,0.4116910829,45.0,45,8016.0,9.2,10058.0,4.9,146148.0,77.1,163.7,8.0,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4,449820.8219178081,302879.35342465807,,,,0.32102945078270106,0.707338816662245,6.000000000000001,8.0,1.6000000000000003,4.5,18.0,15.1,11.800000000000002,14.300000000000004,5222.323759824022,354.08939902016743,11.540882784519427,2740.0,1600.0,10147.0,688.0,89823.0,194300.52999999997,40.0,216.0,152.0,1140.0,
Hillcrest/Fresh Meadows,2000.0,0.437864611994883,,,,,,0.236111111109494,,0.105629136810421,148712.0,0.2372303513,0.1454220238,0.1627508204,0.3899954274,46.0,46,5537.0,10.0,6244.0,4.8,97041.0,85.5,208.7,8.0,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6,461066.342465753,221911.60547945197,,,,0.28065039503386,0.7098088318284419,5.0,14.0,1.8999999999999997,,11.1,18.7,12.9,14.999999999999998,5953.577953438628,283.6578010208978,13.436069071503104,2585.0,40.0,12971.0,618.0,97516.0,217869.01,0.0,95.0,150.0,820.0,
Ozone Park/Woodhaven,2000.0,0.415942658557469,,,,,,0.271952662718832,,0.147414114549974,143120.0,0.1606693684,0.06931246506,0.3556246506,0.288764673,47.0,47,4348.0,9.7,5936.0,4.9,81466.0,77.8,203.1,7.8,268.2,41.1,55.2,21.6,35.1,59.4,45.3,25.6,32.8,58.4,5.6,6.4,5.9,3.8,4.0,7.8,293882.936986301,152039.437808219,,,,0.908454085195531,0.46820443435754194,10.999999999999998,16.0,3.5,,22.399999999999995,33.39999999999999,19.499999999999996,16.199999999999996,6935.167857980462,282.8768743451976,14.878549074570191,1374.0,36.0,6693.0,273.0,45872.0,96508.13,0.0,99.0,147.0,486.0,
South Ozone Park/Howard Beach,2000.0,0.630425241390185,,,,,,0.26111999999921,,0.114505619038027,128079.0,0.1281865099,0.1662801864,0.2074735124,0.3369092513,48.0,48,3044.0,7.7,7382.0,6.7,73994.0,76.9,223.1,7.0,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4,298381.14520547906,202419.36986301397,,,,0.393896054143788,0.398467628655344,8.0,16.0,3.7,,9.800000000000002,38.20000000000001,22.9,22.5,6962.174759860871,238.82723730218052,15.93190808313191,4912.0,568.0,18074.0,620.0,115152.0,259602.84,0.0,104.0,368.0,1568.0,
Bayside/Little Neck,2000.0,0.672949920524843,,,,,,0.248399999998583,,0.0651845717193282,116749.0,0.2639337382,0.01967468672,0.08944830363,0.6032085928,49.0,49,1467.0,3.4,4454.0,4.5,80671.0,88.8,251.6,6.2,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6,524790.95890411,325370.39452054794,,,,0.20545073375262102,0.6865828092243189,5.0,5.0,1.0,,9.1,,10.6,13.0,4118.631010429971,178.05587461432785,9.224343922574512,5224.0,664.0,6870.0,297.0,74818.0,166802.95,0.0,80.0,0.0,928.0,
Jamaica,2000.0,0.506462082354119,,,,,,0.268173913042119,,0.169593817263376,218993.0,0.04682341445,0.7266259652,0.1361550369,0.0213385816,50.0,50,7163.0,10.1,10771.0,5.8,133121.0,80.9,157.2,9.6,284.9,40.9,111.0,33.6,35.5,50.3,41.0,49.8,46.0,95.8,3.0,4.7,3.7,3.8,4.8,8.6,269892.493150685,123700.726027397,,,,0.4074489863303179,0.5874001188668029,19.999999999999996,21.999999999999993,7.799999999999999,,18.299999999999997,58.699999999999996,23.099999999999998,25.399999999999995,5938.39815190266,304.88796269004973,13.618239989770535,4076.0,4.0,10245.0,526.0,76422.0,172521.27000000002,0.0,180.0,540.0,1612.0,
Queens Village,2000.0,0.72328186010418,,,,,,0.233419354837679,,0.0721986649741666,196428.0,0.1001741096,0.5571558026,0.1030097542,0.1835838068,51.0,51,2877.0,4.8,8234.0,5.0,127658.0,87.8,143.3,6.6,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0,307377.561643836,243458.02284931505,,,,0.0911827603224215,0.3841092284915281,14.000000000000002,15.000000000000002,3.5000000000000004,,5.6,20.3,14.9,17.4,5850.4735908585435,260.37867523377963,13.754194718162978,12930.0,20.0,15279.0,680.0,113817.0,261158.37999999998,0.0,120.0,390.0,2400.0,
