Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
Astoria,2013.0,0.168915,0.0802675585284281,0.207357859531773,79797.0,70646.3491334836,51246.7574610739,0.298,0.006201,0.19033,178585.0,0.163289,0.0852647,0.252014,0.472374,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,628611.549138935,381428.70269786206,9.65961120849795,0.29301948051948107,0.37737341772151906,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,354.0,822.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
Sunnyside/Woodside,2013.0,0.288052,0.0259515570934256,0.174740484429066,54686.0,87085.0738651186,59015.9700311097,0.296,0.0077101,0.154154,133375.0,0.340671,0.0112315,0.328817,0.296907,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,570012.1674395419,735155.8795014659,11.616607773851598,0.34849951597289397,0.497169811320755,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,123.0,807.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
Jackson Heights,2013.0,0.320466,0.108843537414966,0.491496598639456,62240.0,65542.8757091184,47153.3242885455,0.371,0.0144586,0.206236,192889.0,0.154026,0.0527661,0.689303,0.0923433,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,498094.744444834,327623.815864784,10.275329882967302,0.234121122599705,0.31236442516269003,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,282.0,198.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
Elmhurst/Corona,2013.0,0.256809,0.0452488687782805,0.701357466063348,46973.0,64831.1595822967,44457.7527303734,0.369,0.0161451,0.203812,150519.0,0.349218,0.0959945,0.470525,0.0624041,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,591321.033512049,359489.626911261,9.35700297801829,0.25,0.382369455362156,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,31.0,112.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
Middle Village/Ridgewood,2013.0,0.41787,0.166666666666667,0.0964749536178108,67721.0,81254.9681076809,46547.0870487827,0.314,0.0277347,0.132977,163960.0,0.0850939,0.0178397,0.357154,0.532331,43.0,43,3647.0,5.9,5419.0,3.8,107276.0,84.0,180.4,7.4,285.7,45.6,82.2,27.8,53.7,63.7,57.9,57.0,52.4,109.4,6.2,5.0,5.6,6.2,4.4,10.6,532721.6518126559,332418.310731098,9.28541875997399,0.321643835616438,0.425405405405405,0.39661674062182894,0.543729460404961,15.0,15.0,2.4999999999999996,9.499999999999998,10.6,18.8,19.8,19.7,5641.816065019878,198.9812589411177,12.461253250548916,675.0,75.0,9952.0,351.0,81029.0,176397.13,48.0,54.0,93.0,690.0,
Rego Park/Forest Hills,2013.0,0.43934,0.0044198895027624,0.0110497237569061,56475.0,90651.1126023525,53907.1693902263,0.332,0.0162507,0.0967357,116101.0,0.255683,0.0145046,0.173823,0.523406,44.0,44,3634.0,7.0,6020.0,6.3,83010.0,92.0,230.2,4.6,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6,751137.529055846,434168.146227315,7.4873959225478295,0.43610785463071494,0.567318757192175,0.80083450235603,0.735171396712348,5.0,8.0,1.0,,16.5,,13.4,16.1,5566.293396844637,286.70366964535674,11.341203961361352,276.0,252.0,6271.0,323.0,55838.0,112660.26000000001,0.0,40.0,0.0,290.0,
Flushing/Whitestone,2013.0,0.492817,0.0192629815745394,0.148989898989899,95631.0,69359.2936227042,43634.1650566711,0.373,0.0082769,0.169362,250391.0,0.494331,0.0167778,0.186836,0.281871,45.0,45,8016.0,9.2,10058.0,4.9,146148.0,77.1,163.7,8.0,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4,671229.281283947,509281.8991329001,8.73646676423264,0.4495130702204001,0.6357715430861721,0.32102945078270106,0.707338816662245,6.000000000000001,8.0,1.6000000000000003,4.5,18.0,15.1,11.800000000000002,14.300000000000004,5222.323759824022,354.08939902016743,11.540882784519427,2100.0,3100.0,10147.0,688.0,89823.0,194300.52999999997,40.0,216.0,152.0,1140.0,
Hillcrest/Fresh Meadows,2013.0,0.47392,0.0449927431059507,0.0204379562043796,55840.0,96159.4544820954,42372.6801851787,0.372,0.0099714,0.164493,155659.0,0.338554,0.100817,0.167983,0.353047,46.0,46,5537.0,10.0,6244.0,4.8,97041.0,85.5,208.7,8.0,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6,622218.8893171829,345203.63037460094,8.52376130821206,0.381679389312977,0.490424646128227,0.28065039503386,0.7098088318284419,5.0,14.0,1.8999999999999997,,11.1,18.7,12.9,14.999999999999998,5953.577953438628,283.6578010208978,13.436069071503104,2125.0,380.0,12971.0,618.0,97516.0,217869.01,0.0,95.0,150.0,820.0,
Ozone Park/Woodhaven,2013.0,0.468933,0.269662921348315,0.104868913857678,50233.0,81956.0298014663,49119.0671837342,0.317,0.0458148,0.163186,158754.0,0.276976,0.0554821,0.391965,0.194893,47.0,47,4348.0,9.7,5936.0,4.9,81466.0,77.8,203.1,7.8,268.2,41.1,55.2,21.6,35.1,59.4,45.3,25.6,32.8,58.4,5.6,6.4,5.9,3.8,4.0,7.8,387288.640867801,414990.166762059,11.443164453623798,0.292579505300353,0.4299583911234399,0.908454085195531,0.46820443435754194,10.999999999999998,16.0,3.5,,22.399999999999995,33.39999999999999,19.499999999999996,16.199999999999996,6935.167857980462,282.8768743451976,14.878549074570191,543.0,72.0,6693.0,273.0,45872.0,96508.13,0.0,99.0,147.0,486.0,
South Ozone Park/Howard Beach,2013.0,0.677299,0.308943089430894,0.109756097560976,39750.0,80200.1792370918,45676.6198697208,0.351,0.0350966,0.106388,121383.0,0.178551,0.18398,0.229637,0.223145,48.0,48,3044.0,7.7,7382.0,6.7,73994.0,76.9,223.1,7.0,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4,390484.970778677,217852.79045722296,13.399130690545402,0.344428364688857,0.457225017972682,0.393896054143788,0.398467628655344,8.0,16.0,3.7,,9.800000000000002,38.20000000000001,22.9,22.5,6962.174759860871,238.82723730218052,15.93190808313191,2432.0,400.0,18074.0,620.0,115152.0,259602.84,0.0,104.0,368.0,1568.0,
Bayside/Little Neck,2013.0,0.704592,0.0142543859649123,0.0077007700770077,44590.0,82282.0554523757,66513.494558721,0.313,0.0015854,0.0708055,118250.0,0.443552,0.0127442,0.110638,0.419992,49.0,49,1467.0,3.4,4454.0,4.5,80671.0,88.8,251.6,6.2,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6,697865.36387458,490103.91966764396,7.87590933686046,0.6159135559921409,0.790494665373424,0.20545073375262102,0.6865828092243189,5.0,5.0,1.0,,9.1,,10.6,13.0,4118.631010429971,178.05587461432785,9.224343922574512,4456.0,600.0,6870.0,297.0,74818.0,166802.95,0.0,80.0,0.0,928.0,
Jamaica,2013.0,0.463618,0.690140845070423,0.192061459667093,77545.0,76288.9368694833,38981.3741497393,0.348,0.0488967,0.161256,246150.0,0.112204,0.612086,0.190254,0.0180337,50.0,50,7163.0,10.1,10771.0,5.8,133121.0,80.9,157.2,9.6,284.9,40.9,111.0,33.6,35.5,50.3,41.0,49.8,46.0,95.8,3.0,4.7,3.7,3.8,4.8,8.6,310044.00135496596,156353.80480701497,16.749365923184897,0.19559779889944998,0.238754325259516,0.4074489863303179,0.5874001188668029,19.999999999999996,21.999999999999993,7.799999999999999,,18.299999999999997,58.699999999999996,23.099999999999998,25.399999999999995,5938.39815190266,304.88796269004973,13.618239989770535,2676.0,8.0,10245.0,526.0,76422.0,172521.27000000002,0.0,180.0,540.0,1612.0,
Queens Village,2013.0,0.730881,0.41301775147929,0.021301775147929,64177.0,94742.4148882737,51453.4534619772,0.313,0.0297404,0.0888706,197890.0,0.156269,0.552403,0.114948,0.119395,51.0,51,2877.0,4.8,8234.0,5.0,127658.0,87.8,143.3,6.6,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0,399541.238859492,319632.991087594,10.233677814128804,0.346730653869226,0.36882807852468796,0.0911827603224215,0.3841092284915281,14.000000000000002,15.000000000000002,3.5000000000000004,,5.6,20.3,14.9,17.4,5850.4735908585435,260.37867523377963,13.754194718162978,6500.0,10.0,15279.0,680.0,113817.0,261158.37999999998,0.0,120.0,390.0,2400.0,
Rockaways,2013.0,0.350717,0.25,0.0853080568720379,45596.0,92958.8627980049,31140.7768783606,0.349,0.107948,0.191518,112269.0,0.0413293,0.346267,0.224318,0.378546,52.0,52,3029.0,7.4,7228.0,8.4,61975.0,78.2,186.3,6.4,326.3,49.5,67.0,19.6,44.0,65.8,53.5,32.8,38.2,71.0,5.5,7.0,6.2,4.0,3.8,7.8,490103.91966764396,269919.406540437,11.7587712431943,0.202846975088968,0.251173708920188,0.677553315741662,0.8160660985421979,8.0,27.999999999999996,7.7,,15.4,56.099999999999994,45.699999999999996,55.0,7274.133560239109,493.0671139136179,14.467808362249217,485.0,80.0,9073.0,615.0,64780.0,124729.6,0.0,85.0,305.0,2055.0,
North Shore,2013.0,0.553338,0.304046242774566,0.153757225433526,67038.0,87280.049989682,37229.7853585793,0.322,0.0724565,0.182443,177182.0,0.0575115,0.223595,0.266127,0.418254,53.0,53,3575.0,5.9,7205.0,5.5,98058.0,85.1,212.2,10.4,349.3,38.4,96.8,23.8,54.4,71.3,61.6,52.6,55.8,108.4,6.0,7.3,6.7,5.6,6.0,11.6,371839.71296523395,265561.743428609,10.7421652745852,0.22872340425531898,0.304806565064478,0.12680297742224397,0.6549093492293909,27.999999999999996,25.999999999999996,6.499999999999999,8.8,29.3,70.8,38.4,40.5,8034.9098911779665,246.86997554033488,14.852986531067808,2384.0,520.0,8625.0,265.0,59231.0,107344.07,60.0,212.0,508.0,1940.0,
Mid-Island,2013.0,0.693203,0.132022471910112,0.0,51431.0,98218.9563880031,41652.440511928,0.343,0.0123091,0.12603,136769.0,0.146305,0.039351,0.129803,0.678663,54.0,54,2183.0,4.6,6194.0,5.8,85468.0,88.5,247.0,7.6,350.8,47.7,98.0,21.8,55.1,84.0,67.5,55.8,63.0,118.8,5.0,7.3,6.1,4.4,5.0,9.4,442691.692656317,266360.825906328,6.45439876366446,0.33970099667774106,0.436046511627907,0.243204752604167,0.568644205729167,7.000000000000001,14.999999999999998,2.4,,16.100000000000005,36.6,28.000000000000004,34.8,8589.422355526536,323.80758804590215,15.861834701778657,2000.0,776.0,19762.0,745.0,126325.0,230073.74,0.0,96.0,184.0,1352.0,
South Shore,2013.0,0.787368,0.20327868852459,0.0,59566.0,104470.977693676,53569.4238629771,0.307,0.0270887,0.0686664,158670.0,0.04596030158,0.006268172035,0.1236327707,0.8234464877,55.0,55,1086.0,1.9,6227.0,4.8,107940.0,92.5,255.7,9.8,368.7,49.8,110.0,29.4,59.5,73.6,65.3,63.2,61.2,124.4,7.4,8.4,7.8,6.8,6.6,13.4,442158.971004505,273818.929031705,,,,0.28378021833053,0.579103591570199,4.0,13.0,1.6000000000000003,,15.200000000000001,15.3,26.4,29.299999999999997,8248.681680983102,133.35343192177282,15.749107795779556,3624.0,364.0,11443.0,185.0,73402.0,138725.19,0.0,104.0,96.0,1320.0,
Greenwich Village/Financial District,2013.0,0.282002,0.0,0.0258175559380379,93405.0,191991.817869978,114008.82614773,0.241,0.0083322,0.0779699,159732.0,0.171187,0.0210916,0.072102,0.703647,29.0,29,4429.0,5.7,3156.0,2.3,117469.0,96.0,241.7,5.6,376.7,58.6,75.0,29.4,50.2,45.9,48.0,37.2,28.6,65.8,4.9,8.5,6.7,3.8,5.0,8.8,5381244.082909389,1721842.6471764485,23.831816797819094,0.621746974182851,0.7217946930295747,1.0,0.9909929433742096,6.5004431251755665,5.000886250351132,1.2000000000000002,,,,11.247031061323709,7.200000000000001,3141.0334789187214,63.23346765028134,4.958748631042353,69.0,17203.0,5166.0,104.0,103863.0,164468.19999999998,0.0,0.0,196.0,635.0,
Lower East Side/Chinatown,2013.0,0.125689,0.0,0.28125,73284.0,99010.5807625967,35238.4718241036,0.296,0.0264024,0.299035,163820.0,0.320486,0.0628678,0.272116,0.300592,30.0,30,4935.0,6.8,10730.0,7.7,92228.0,74.4,138.1,4.0,244.0,51.6,74.6,27.4,39.0,67.7,50.8,44.8,57.0,101.8,5.2,6.3,5.7,4.8,4.6,9.4,5593577.34403289,1006843.9219259197,14.649950697281298,0.38811728395061695,0.53968253968254,0.85508916048888,0.997908735724304,17.999999999999996,16.0,4.7,8.499999999999998,9.699999999999998,30.299999999999997,16.699999999999996,17.8,3799.992696695458,159.08723154039373,6.948651658242251,4.0,836.0,7954.0,333.0,118113.0,209316.22000000003,64.0,68.0,236.0,920.0,
Morningside Heights/Hamilton Heights,2013.0,0.146079,0.0138248847926267,0.387096774193548,49295.0,129991.541145414,40886.3867766214,0.315,0.0770299,0.240793,130017.0,0.0571002,0.191975,0.41783,0.303722,35.0,35,2906.0,6.2,5858.0,5.3,70643.0,79.4,199.9,5.2,305.7,40.3,60.8,16.8,40.8,53.1,45.3,30.2,25.4,55.6,3.3,8.0,5.2,2.0,3.8,5.8,1712794.40231006,385688.34502575593,13.403755229461,0.14545454545454498,0.239285714285714,1.0,0.99964801126364,11.0,27.0,6.6,9.6,9.9,45.7,18.8,16.6,5033.59,243.97,10.89,4.0,64.0,2971.0,144.0,27907.0,59023.53,11.0,12.0,54.0,124.0,
Central Harlem,2013.0,0.142136,0.0285714285714286,0.625,60590.0,96107.2477602177,34554.4572231761,0.319,0.0674956,0.313307,148434.0,0.0308218,0.583458,0.220212,0.140561,36.0,36,3496.0,6.2,6941.0,6.3,78574.0,81.6,214.3,6.6,373.7,46.4,68.4,22.0,60.2,85.0,68.7,40.4,36.2,76.6,2.6,4.1,3.3,1.6,2.4,4.0,1447923.59886385,585993.816993922,16.4876472265669,0.119083969465649,0.14136904761904803,1.0,0.966881770763675,11.0,28.000000000000004,13.000000000000002,,16.700000000000003,81.0,37.400000000000006,33.70000000000001,4013.5918716940796,185.02994820328036,8.124137990164837,27.0,939.0,5271.0,243.0,65675.0,131328.78,0.0,57.0,291.0,816.0,
East Harlem,2013.0,0.0915286,0.0212765957446809,0.861702127659574,49540.0,108203.225586276,25349.0270798534,0.311,0.0940914,0.339031,114311.0,0.0808846,0.296542,0.41465,0.164402,37.0,37,3812.0,7.7,7268.0,7.4,63957.0,74.3,194.7,6.2,306.2,39.1,63.0,16.0,49.3,84.8,62.5,37.0,40.4,77.4,3.2,6.3,4.6,2.2,3.6,5.8,783100.828164605,804409.694237111,17.624947100264702,0.268571428571429,0.286792452830189,0.9754544484365552,0.9998221336843232,17.0,29.000000000000004,11.400000000000002,,30.500000000000004,82.4,37.9,38.2,5110.5448559978695,334.6504336560176,10.108640243720538,5.0,805.0,12660.0,829.0,128497.0,247723.07,0.0,180.0,535.0,1625.0,
Washington Heights/Inwood,2013.0,0.0913912,0.0062305295950155,0.448598130841121,75623.0,97271.7772910802,36322.0276638905,0.348,0.077933,0.289169,218366.0,0.0207908,0.0675838,0.716467,0.181077,38.0,38,9685.0,12.8,11406.0,6.3,113359.0,70.7,220.8,10.6,276.1,41.1,98.0,28.8,31.7,44.5,36.1,40.8,35.2,76.0,6.1,7.1,6.5,6.8,6.4,13.2,841700.2098639971,378232.37278698606,10.9041153562783,0.13538640325392204,0.196209587513935,1.0,0.9843946261809841,13.0,18.000000000000004,4.699999999999999,6.5,12.900000000000002,31.800000000000004,17.3,17.0,5548.6526576178385,253.2373093277237,11.610758914811361,15.0,155.0,13037.0,595.0,113188.0,234957.86,60.0,130.0,335.0,1180.0,
Mott Haven/Hunts Point,2013.0,0.064423,0.379746835443038,1.0,52200.0,74372.2043662613,23011.4444716995,0.333,0.1474494,0.428749,162945.0,0.00378042,0.268649,0.690288,0.0238792,1.0,1,6346.0,12.5,8488.0,7.9,56689.0,59.5,159.7,8.2,257.8,29.2,49.2,14.8,39.1,60.8,47.5,27.8,30.4,58.2,4.9,4.7,5.4,3.4,3.6,7.0,435079.5522600579,143052.8775009562,21.641380688194356,0.10055912496635074,0.13832264712517528,0.993433293463761,0.9977053224109182,23.80534551474445,32.19465448525555,13.399999999999999,,29.140685780858437,159.12138205897782,61.76733249125824,59.13282923538668,6580.049747505624,316.386944868301,12.990859573724332,22.0,30.0,32964.0,1585.0,256389.0,500968.78,126.0,320.0,1795.0,3952.0,
Morrisania/Belmont,2013.0,0.0582474,0.790322580645161,1.0,59752.0,66380.3141457679,23874.453547636,0.344,0.1914679,0.418947,168746.0,0.00446825,0.330248,0.59839,0.057874,2.0,2,7995.0,13.9,9248.0,7.5,65281.0,64.2,196.7,11.2,272.5,38.9,53.8,22.0,46.8,80.7,59.4,34.2,37.8,72.0,4.1,6.0,4.5,3.4,3.6,7.0,254073.04898754935,,19.792517341519986,0.12456219760355333,0.18843518798974138,0.5362485351150315,0.9969717337056196,33.5960541470271,36.36963965685687,12.4,,31.6463981696176,108.86329365099496,48.55325940884081,45.427187340212186,6063.29011463713,236.74032231163702,13.451024679407716,71.0,2.0,44820.0,1750.0,338068.0,739202.9099999999,0.0,251.0,958.0,2281.0,
Highbridge/South Concourse,2013.0,0.0666202,0.26865671641791,0.880597014925373,50773.0,60347.7741606413,27438.3613982627,0.422,0.1360103,0.375984,138206.0,0.0250785,0.301535,0.639856,0.0150645,3.0,3,8174.0,16.7,7197.0,6.9,57777.0,65.3,201.7,9.2,282.1,39.7,52.4,19.4,36.0,73.6,55.6,29.2,34.0,63.2,5.2,3.9,4.5,3.8,2.2,6.0,511412.7857401501,,14.9343421582753,0.12125162972620601,0.164883574575205,0.962980191495135,0.994301662984068,18.0,30.999999999999996,9.3,7.6,19.0,83.9,42.3,39.7,7165.039999999999,249.96,14.509999999999998,1.0,0.0,5389.0,188.0,37603.0,75212.41,12.0,29.0,133.0,383.0,
University Heights/Fordham,2013.0,0.0454829,0.727272727272727,1.0,47926.0,76444.4915918126,24128.0290538988,0.425,0.1965468,0.431072,136077.0,0.0260661,0.278717,0.661831,0.0134997,4.0,4,8008.0,17.7,6390.0,6.4,54483.0,65.7,195.1,8.8,270.9,36.0,45.0,17.6,42.2,56.5,46.6,23.0,19.6,42.6,2.9,5.6,4.1,2.0,3.0,5.0,304929.87349756504,,13.252730109204402,0.0918149466192171,0.132596685082873,0.9827891406838781,0.993445151339888,20.000000000000004,30.000000000000004,11.700000000000001,8.700000000000001,19.9,69.00000000000001,51.300000000000004,42.800000000000004,7094.431520621994,270.9486267053037,14.873699269833619,6.0,0.0,11102.0,424.0,76159.0,156488.99,24.0,54.0,196.0,702.0,
Kingsbridge Heights/Mosholu,2013.0,0.068278,0.256410256410256,0.730769230769231,45747.0,75299.1400404154,29700.2975318592,0.4,0.1392659,0.352858,127336.0,0.0648756,0.137345,0.726676,0.0587422,5.0,5,7924.0,17.6,5625.0,5.8,57645.0,68.6,213.3,8.2,281.4,34.1,47.0,15.4,36.0,60.2,45.5,21.4,24.6,46.0,4.5,5.1,4.8,3.0,3.0,6.0,357988.95001810504,267426.269209954,15.1271484571314,0.192588092345079,0.298454221165279,0.995222489832985,0.898369329174399,18.0,28.999999999999996,6.9,7.6,16.4,66.1,31.4,27.5,6725.549999999999,343.92,13.64,12.0,2.0,6864.0,351.0,51242.0,102058.58,11.0,24.0,103.0,257.0,
Riverdale/Kingsbridge,2013.0,0.337742,0.0620689655172414,0.064367816091954,45894.0,88831.3354397605,55008.8377661749,0.299,0.077426,0.154832,114884.0,0.0420772,0.123725,0.442664,0.356507,6.0,6,3959.0,9.3,4720.0,5.6,63317.0,82.2,203.9,5.0,338.4,46.9,76.2,17.4,40.3,51.0,44.0,35.6,30.6,66.2,5.9,4.7,5.2,3.8,2.6,6.4,676556.497802074,519714.18724034703,9.50546047910666,0.29685362517099906,0.357046979865772,0.631724045185584,0.943361126053434,10.0,19.0,2.5,,,19.900000000000002,17.1,20.9,6322.833724409953,375.99306813313734,11.695515126787724,98.0,104.0,5768.0,343.0,51881.0,91224.92,0.0,0.0,42.0,304.0,
Soundview/Parkchester,2013.0,0.221489,0.486842105263158,0.640350877192982,69963.0,73150.1408970031,29097.2566220073,0.327,0.1326857,0.30602,191175.0,0.0727396,0.313671,0.562537,0.0253694,7.0,7,7118.0,11.0,10778.0,7.5,88254.0,71.2,193.1,10.4,280.0,33.2,80.6,21.6,38.0,57.3,45.7,37.8,39.0,76.8,5.2,6.3,5.6,5.2,4.8,10.0,306314.94979227695,98020.78393352879,14.202138155985597,0.16111111111111098,0.24697336561743297,0.701497037386608,0.8925593833569289,12.999999999999998,28.999999999999996,6.7,5.4,11.9,54.5,34.6,34.1,6677.176696116215,302.1505023925233,14.040931482472176,56.0,332.0,8486.0,384.0,61256.0,127089.67000000001,20.0,44.0,204.0,816.0,
Throgs Neck/Co-op City,2013.0,0.409436,0.337595907928389,0.0971867007672634,48391.0,92751.101353798,40704.1959717014,0.288,0.0290577,0.0950354,122671.0,0.0486505,0.266697,0.360167,0.31097,8.0,8,2492.0,5.2,7852.0,8.1,73158.0,83.7,299.2,7.6,320.3,47.1,86.8,19.6,45.8,69.1,54.7,48.0,47.6,95.6,5.6,6.6,6.1,4.8,3.8,8.6,399541.23885949206,399541.23885949206,9.2115755199681,0.272151898734177,0.32949790794979106,0.272116864171379,0.750624487919906,7.0,21.0,2.2000000000000006,,13.300000000000002,32.9,21.600000000000005,27.60000000000001,7181.703101460084,327.4872617408994,13.567528469347845,588.0,76.0,10000.0,456.0,74579.0,139242.74,0.0,64.0,148.0,964.0,
Pelham Parkway,2013.0,0.263583,0.435344827586207,0.262931034482759,45238.0,74131.414179642,39449.1037600308,0.32,0.0937634,0.2116,121307.0,0.0594525,0.201225,0.50007,0.216434,9.0,9,4685.0,10.5,6867.0,7.0,68237.0,76.8,297.0,9.6,310.8,40.1,68.2,17.4,38.2,60.2,47.0,32.2,35.8,68.0,4.5,6.1,5.3,3.4,3.8,7.2,417121.05336931,187518.021438055,10.1914653101597,0.233552631578947,0.270731707317073,0.858007148716747,0.743979257002227,17.0,22.0,4.0,,23.4,55.1,31.8,34.4,6511.25,268.2,13.33,81.0,9.0,4904.0,202.0,37068.0,75315.82,0.0,28.0,65.0,273.0,
Williamsbridge/Baychester,2013.0,0.356308,0.6875,0.291512915129151,50590.0,73969.466797491,37775.2923300355,0.345,0.1370582,0.211345,135386.0,0.0173208,0.669826,0.199851,0.0839304,10.0,10,4478.0,9.2,7040.0,6.2,78224.0,80.0,206.9,8.2,302.1,40.9,71.0,22.0,34.1,48.9,40.0,29.4,28.6,58.0,3.4,7.1,4.9,2.6,4.2,6.8,340941.8571601001,179793.55748677204,13.8371054980833,0.145979020979021,0.152717860224331,0.747298754959139,0.45816041099146204,8.0,30.0,5.9,7.200000000000001,22.3,69.0,27.599999999999998,28.9,6568.762117899796,373.7770752544459,13.94646031858398,390.0,33.0,10439.0,594.0,76723.0,158918.85,33.0,105.0,321.0,894.0,
Williamsburg/Greenpoint,2013.0,0.164725,0.029940119760479,0.338323353293413,66286.0,71280.2878991407,52529.5511986388,0.294,0.0783882,0.25998,156086.0,0.0788155,0.034135,0.242847,0.622939,11.0,11,5580.0,8.7,5364.0,4.2,95227.0,83.7,215.0,8.0,257.4,45.6,47.2,19.8,35.9,47.6,40.7,24.6,23.4,48.0,3.7,5.1,4.4,3.0,3.4,6.4,1113388.25228845,719174.2299470861,15.3336838395452,0.302222222222222,0.33589462129528,0.922287834511525,0.8904099622897751,25.0,19.0,2.8,6.6000000000000005,16.3,21.600000000000005,20.2,14.600000000000001,4639.633390082759,163.02641544672804,8.68941963478366,15.0,1677.0,10416.0,366.0,122458.0,224500.36,39.0,81.0,138.0,582.0,
